PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
F0023,4r1k1/1b3p2/3N4/8/8/8/8/4K3 w - - 0 1,d6e4 f7f5 e1d2 f5e4,1519,75,90,1023,pin endgame,https://lichess.org/fixture23#43,
F0024,8/3k4/8/1B6/1n1P4/8/8/6K1 b - - 0 1,b4c6 d4d5 d7e7 d5c6,1872,75,90,1024,pin endgame,https://lichess.org/fixture24#44,
F0025,6k1/2Q5/8/4n3/8/8/8/4K3 w - - 0 1,c7c1 e5d3 e1d2 d3c1,2225,75,90,1025,fork middlegame,https://lichess.org/fixture25#45,
F0026,6k1/8/8/8/8/8/8/r2Q2K1 b - - 0 1,a1a8 d1d5 g8g7 d5a8,778,75,90,1026,fork middlegame,https://lichess.org/fixture26#46,
F0027,Q3r1k1/8/8/4n3/8/8/8/4K3 w - - 0 1,a8f3 e5f3,1131,75,90,1027,discoveredAttack middlegame,https://lichess.org/fixture27#47,
F0028,4k3/8/8/8/4N3/8/8/2r1R1K1 b - - 0 1,c1c5 e4c5,1484,75,90,1028,discoveredAttack middlegame,https://lichess.org/fixture28#48,
F0029,2Qrk3/8/8/3b4/8/8/8/3K4 w - - 0 1,c8c4 d5c4,1837,75,90,1029,discoveredAttack middlegame,https://lichess.org/fixture29#49,
F0030,2Q5/3N4/1K3b2/8/8/8/6k1/8 b - - 0 1,g2h3 d7f6,2190,75,90,1030,discoveredAttack middlegame,https://lichess.org/fixture30#50,
F0031,3K4/4n3/8/3B4/3k4/8/4q3/8 w - - 0 1,d8e8 e7d5,743,75,90,1031,discoveredAttack middlegame,https://lichess.org/fixture31#51,
F0032,8/2Kn4/4BQ2/k7/8/8/8/8 b - - 0 1,a5a6 e6d7,1096,75,90,1032,discoveredAttack middlegame,https://lichess.org/fixture32#52,
F0033,6k1/Q4ppp/8/8/8/8/1B3PPP/6K1 w - - 0 1,a7d4 f7f6,1449,75,90,1033,defensiveMove middlegame,https://lichess.org/fixture33#53,
F0034,6k1/1b3ppp/8/8/8/8/4qPPP/6K1 b - - 0 1,e2f3 g2f3,1802,75,90,1034,defensiveMove middlegame,https://lichess.org/fixture34#54,
F0035,6k1/2Q2ppp/8/8/8/8/1B3PPP/6K1 w - - 0 1,c7c3 f7f6,2155,75,90,1035,defensiveMove middlegame,https://lichess.org/fixture35#55,
F0036,r5k1/5ppp/8/8/8/8/2q2PPP/6K1 b - - 0 1,c2e4 h2h3,708,75,90,1036,defensiveMove middlegame,https://lichess.org/fixture36#56,
F0037,6k1/4Qppp/8/8/8/8/5PPP/R5K1 w - - 0 1,e7f6 g7f6,1061,75,90,1037,defensiveMove middlegame,https://lichess.org/fixture37#57,
F0038,r5k1/5ppp/8/8/8/8/3q1PPP/6K1 b - - 0 1,d2f4 f2f3,1414,75,90,1038,defensiveMove middlegame,https://lichess.org/fixture38#58,
F0039,6k1/Q4ppp/8/8/8/8/5PPP/6K1 w - - 0 1,a7d7 h7h6,1767,75,90,1039,defensiveMove middlegame,https://lichess.org/fixture39#59,
F0040,6k1/5ppp/8/8/8/8/1q3PPP/6K1 b - - 0 1,b2d4 g2g3,2120,75,90,1040,defensiveMove middlegame,https://lichess.org/fixture40#60,
F0041,k7/3r3Q/8/8/8/8/8/K7 w - - 0 1,h7d3 d7d3,673,75,90,1041,hangingPiece crushing,https://lichess.org/fixture41#61,
F0042,4k3/4b3/8/3N4/8/8/2r5/6K1 b - - 0 1,c2c7 d5c7,1026,75,90,1042,hangingPiece crushing,https://lichess.org/fixture42#62,
F0043,r3B2k/1p6/8/8/8/8/8/7K w - - 0 1,e8c6 b7c6,1379,75,90,1043,hangingPiece crushing,https://lichess.org/fixture43#63,
F0044,5k2/2N5/8/8/8/8/r7/4K3 b - - 0 1,a2a8 c7a8,1732,75,90,1044,hangingPiece crushing,https://lichess.org/fixture44#64,
F0045,3q2k1/5N2/8/8/8/2P5/1P6/K7 w - - 0 1,f7g5 d8g5,2085,75,90,1045,hangingPiece crushing,https://lichess.org/fixture45#65,
F0046,7k/8/1p4p1/3Q1n2/8/8/8/7K b - - 0 1,b6b5 d5b5,638,75,90,1046,hangingPiece crushing,https://lichess.org/fixture46#66,
F0047,k4B2/8/8/7r/8/8/8/K7 w - - 0 1,f8c5 h5c5,991,75,90,1047,hangingPiece crushing,https://lichess.org/fixture47#67,
F0048,4k3/8/8/8/4B3/8/8/1q2R1K1 b - - 0 1,b1b7 e4b7,1344,75,90,1048,hangingPiece crushing,https://lichess.org/fixture48#68,
F0049,4r1k1/5pbp/2N5/8/8/8/5PPP/3R2K1 w - - 0 1,c6d4 e8e1 d1e1 g7d4,1697,75,90,1049,deflection middlegame,https://lichess.org/fixture49#69,
F0050,1r2k3/5ppp/8/2n5/6B1/8/5PPP/1R4K1 b - - 0 1,c5d7 g4d7 e8d7 b1b8,2050,75,90,1050,capturingDefender,https://lichess.org/fixture50#70,
F0051,k7/r1K5/8/2Q5/8/8/8/8 w - - 0 1,c7b6 a7c7 c5c7,603,75,90,1051,equality endgame,https://lichess.org/fixture51#71,
R0052,5k2/5ppp/8/8/8/8/8/R5K1 b - - 0 1,f8g8 a1a7 g8f8 a7a8,1252,80,50,10,mateIn2 short,https://lichess.org/reject52#30,
R0053,7k/8/8/5N2/8/8/8/K5Q1 b - - 0 1,h8h7 g1g2,1253,80,50,10,mateIn1 short,https://lichess.org/reject53#30,
R0054,2q1k3/8/8/8/8/4N3/8/6K1 b - - 0 1,e8d8 e3f5,1254,80,50,10,fork middlegame,https://lichess.org/reject54#30,
R0055,2q1k3/8/8/8/8/4N3/8/6K1 b - - 0 1,e8d8 e3e5,1255,80,50,10,fork middlegame,https://lichess.org/reject55#30,
R0056,6k1/5ppp/8/8/8/8/5PPP/6K1 b - - 0 1,g8h8 h2h3,1256,80,50,10,defensiveMove,https://lichess.org/reject56#30,
R0057,6k1/5ppp/8/8/8/8/5PPP/6K1 b - - 0 1,g8g6 h2h3,1257,80,50,10,mateIn1,https://lichess.org/reject57#30,
